City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Burnie,AU,2020-12-23 17:20:58,-41.07,145.92,48.99,80,24,3.0
106,Ludvika,SE,2020-12-23 17:20:58,60.15,15.19,35.01,82,0,12.75
107,Kavaratti,IN,2020-12-23 17:20:58,10.57,72.64,82.27,73,97,8.57
108,Naze,JP,2020-12-23 17:20:59,28.37,129.48,60.8,87,75,8.05
109,Carndonagh,IE,2020-12-23 17:21:00,55.25,-7.27,44.6,81,40,17.22
110,Fare,PF,2020-12-23 17:21:00,-16.7,-151.02,81.18,74,73,11.9
111,Victoria,HK,2020-12-23 17:17:44,22.29,114.16,66.99,81,7,4.0
112,Bereda,ES,2020-12-23 17:21:00,43.27,-7.54,46.99,94,97,5.01
113,San Cristobal,VE,2020-12-23 17:21:01,7.77,-72.22,82.4,69,40,9.17
114,Hoi An,VN,2020-12-23 17:21:01,15.88,108.33,71.6,78,75,4.7
115,Leh,IN,2020-12-23 17:21:01,34.17,77.58,6.78,63,8,1.88
116,Lorengau,PG,2020-12-23 17:21:01,-2.02,147.27,82.04,75,100,2.95
117,Faya,SA,2020-12-23 17:21:01,18.39,42.45,60.8,87,20,4.7
118,Neftcala,AZ,2020-12-23 17:21:02,39.37,49.25,46.8,90,100,3.2
119,Darnah,LY,2020-12-23 17:21:02,32.77,22.64,60.62,75,23,14.63
120,Plettenberg Bay,ZA,2020-12-23 17:21:02,-34.05,23.37,68.97,72,60,13.42
121,Saint-Pierre,RE,2020-12-23 17:21:02,-21.34,55.48,78.8,74,0,18.34
122,Leningradskiy,RU,2020-12-23 17:21:03,69.38,178.42,0.07,92,100,7.92
123,Pacific Grove,US,2020-12-23 17:19:55,36.62,-121.92,46.99,60,1,9.17
124,Namatanai,PG,2020-12-23 17:21:04,-3.67,152.43,80.2,79,86,4.18
125,Georgetown,MY,2020-12-23 17:21:04,5.41,100.34,80.6,83,20,3.36
126,Kumi,KR,2020-12-23 17:21:04,36.11,128.34,33.8,74,1,1.12
127,Nizwa,OM,2020-12-23 17:21:04,22.93,57.53,61.41,51,7,2.04
128,Constantine,DZ,2020-12-23 17:21:04,36.37,6.61,59.0,51,0,6.93
129,Acapulco,MX,2020-12-23 17:21:05,16.86,-99.89,82.4,58,75,4.07
130,Verkhoyansk,RU,2020-12-23 17:21:05,67.54,133.38,-44.32,76,100,1.86
131,Berdigestyakh,RU,2020-12-23 17:21:05,62.1,126.7,-36.9,81,99,1.81
132,Fairview,US,2020-12-23 17:21:06,40.81,-74.0,44.6,48,1,5.82
133,Ayolas,PY,2020-12-23 17:21:06,-27.4,-56.9,94.53,21,31,2.93
134,Garowe,SO,2020-12-23 17:21:06,8.41,48.48,76.5,42,0,14.12
135,Henties Bay,NA,2020-12-23 17:21:07,-22.12,14.28,64.99,90,31,1.01
136,Gerede,TR,2020-12-23 17:21:07,40.8,32.2,23.85,96,37,1.1
137,Manggar,ID,2020-12-23 17:21:07,-2.88,108.27,79.29,85,100,5.7
138,Havoysund,NO,2020-12-23 17:21:07,71.0,24.66,35.6,80,40,21.92
139,El Vigia,VE,2020-12-23 17:21:07,8.62,-71.65,83.66,68,6,4.92
140,Novo Aripuana,BR,2020-12-23 17:21:08,-5.12,-60.38,87.91,70,89,2.57
141,Flinders,AU,2020-12-23 17:20:08,-34.58,150.86,64.99,80,9,1.99
142,Barra Do Garcas,BR,2020-12-23 17:21:08,-15.89,-52.26,85.44,66,97,9.06
143,Kuldur,RU,2020-12-23 17:21:09,49.22,131.63,3.33,87,100,5.12
144,Paramonga,PE,2020-12-23 17:21:09,-10.67,-77.83,73.92,66,45,11.14
145,Marystown,CA,2020-12-23 17:17:06,47.17,-55.15,34.38,87,100,19.82
146,Gambela,ET,2020-12-23 17:21:10,8.25,34.58,86.67,41,43,1.9
147,Cayenne,GF,2020-12-23 17:18:22,4.93,-52.33,87.8,66,90,12.75
148,Ostrovnoy,RU,2020-12-23 17:21:11,68.05,39.51,19.27,95,100,21.45
149,Mursalimkino,RU,2020-12-23 17:21:11,55.04,58.56,12.04,95,94,4.85
150,Clyde River,CA,2020-12-23 17:21:11,70.47,-68.59,-9.4,83,40,6.93
151,Fort Nelson,CA,2020-12-23 17:21:12,58.81,-122.7,-0.4,77,90,2.21
152,Kaitangata,NZ,2020-12-23 17:21:12,-46.28,169.85,57.99,94,100,7.81
153,Sawtell,AU,2020-12-23 17:21:13,-30.38,153.1,66.2,72,40,9.17
154,Puerto Del Rosario,ES,2020-12-23 17:21:13,28.5,-13.86,69.8,60,0,10.29
155,Antigonish,CA,2020-12-23 17:21:13,45.62,-62.0,28.99,85,98,8.99
156,Puerto Ayora,EC,2020-12-23 17:21:14,-0.74,-90.35,80.6,65,75,13.87
157,Nikolskoye,RU,2020-12-23 17:21:14,59.7,30.79,30.2,86,90,8.95
158,Faanui,PF,2020-12-23 17:21:14,-16.48,-151.75,80.29,76,45,11.05
159,Vila Franca Do Campo,PT,2020-12-23 17:21:15,37.72,-25.43,53.6,76,20,17.22
160,Talaya,RU,2020-12-23 17:21:15,61.38,152.75,-38.11,79,100,2.39
161,Kihei,US,2020-12-23 17:21:15,20.79,-156.47,71.01,77,1,3.36
162,Fayaoue,NC,2020-12-23 17:21:16,-20.65,166.53,78.53,79,2,10.85
163,Egvekinot,RU,2020-12-23 17:21:16,66.32,-179.17,-4.5,92,100,17.78
164,Rabat,MA,2020-12-23 17:19:22,33.99,-6.84,62.6,82,0,5.82
165,Lata,PT,2020-12-23 17:21:16,40.16,-8.33,55.99,95,95,1.99
166,Coos Bay,US,2020-12-23 17:21:17,43.37,-124.22,39.0,76,1,8.05
167,Kangaatsiaq,GL,2020-12-23 17:21:17,68.31,-53.46,23.45,93,100,16.46
168,Romny,UA,2020-12-23 17:21:17,50.75,33.47,24.26,98,100,14.07
169,Aklavik,CA,2020-12-23 17:16:48,68.22,-135.01,-11.2,76,90,12.75
170,Cabo San Lucas,MX,2020-12-23 17:20:34,22.89,-109.91,73.99,46,5,2.24
171,Tautira,PF,2020-12-23 17:21:18,-17.73,-149.15,78.8,83,75,12.75
172,Salaga,GH,2020-12-23 17:21:18,8.55,-0.52,96.89,24,6,5.32
173,Rafaela,AR,2020-12-23 17:21:18,-31.25,-61.49,93.99,22,0,3.0
174,Sorland,NO,2020-12-23 17:21:19,67.67,12.69,35.6,93,75,2.24
175,Hamilton,US,2020-12-23 17:18:50,39.18,-84.53,54.0,39,20,17.22
176,Wismar,DE,2020-12-23 17:21:19,53.9,11.47,42.01,97,100,4.0
177,Kapuskasing,CA,2020-12-23 17:21:19,49.42,-82.43,23.0,100,100,8.05
178,Carnarvon,AU,2020-12-23 17:21:20,-24.87,113.63,77.0,100,75,13.87
179,Port Alfred,ZA,2020-12-23 17:21:20,-33.59,26.89,70.0,87,28,5.01
180,Hermanus,ZA,2020-12-23 17:21:20,-34.42,19.23,70.0,74,14,8.01
181,Dunedin,NZ,2020-12-23 17:21:08,-45.87,170.5,55.99,89,100,1.99
182,Areosa,PT,2020-12-23 17:21:21,41.72,-8.86,55.0,81,40,10.29
183,Udachnyy,RU,2020-12-23 17:21:21,66.42,112.4,-45.4,57,0,4.47
184,Mar Del Plata,AR,2020-12-23 17:16:43,-38.0,-57.56,89.6,25,0,17.22
185,Marsa Matruh,EG,2020-12-23 17:21:22,31.35,27.25,62.6,59,40,10.29
186,Port Elizabeth,ZA,2020-12-23 17:16:28,-33.92,25.57,68.0,82,20,31.09
187,Spassk-Ryazanskiy,RU,2020-12-23 17:21:22,54.41,40.38,7.27,95,0,8.32
188,Kemin,KG,2020-12-23 17:21:23,42.78,75.69,26.6,79,95,4.21
189,Bodo,NO,2020-12-23 17:21:23,67.28,14.4,36.0,87,40,2.24
190,Bulgan,MN,2020-12-23 17:21:23,48.81,103.53,0.46,80,6,5.48
191,Fez,MA,2020-12-23 17:21:23,34.04,-5.0,64.4,48,0,3.36
192,Taltal,CL,2020-12-23 17:21:24,-25.4,-70.48,67.28,61,22,7.45
193,Mahebourg,MU,2020-12-23 17:21:24,-20.41,57.7,78.8,83,75,13.87
194,Gizo,SB,2020-12-23 17:21:24,-8.1,156.84,82.8,74,76,4.07
195,Charters Towers,AU,2020-12-23 17:21:24,-20.1,146.27,78.17,80,88,7.43
196,Turukhansk,RU,2020-12-23 17:21:25,65.82,87.98,-40.88,78,1,2.73
197,Preveza,GR,2020-12-23 17:21:25,38.95,20.75,55.4,93,20,3.36
198,Itarema,BR,2020-12-23 17:21:25,-2.92,-39.92,86.86,57,52,16.89
199,Maldonado,UY,2020-12-23 17:21:26,-34.67,-54.92,78.01,69,0,14.99
200,Provideniya,RU,2020-12-23 17:21:26,64.38,-173.3,19.78,96,100,7.31
201,Severo-Kurilsk,RU,2020-12-23 17:21:26,50.68,156.12,19.87,88,96,25.43
202,Namibe,AO,2020-12-23 17:21:26,-15.2,12.15,71.56,75,17,13.47
203,Tura,IN,2020-12-23 17:21:26,25.52,90.22,58.46,78,0,3.24
204,Tabuk,PH,2020-12-23 17:21:27,17.42,121.44,73.08,89,17,2.75
205,Castro,BR,2020-12-23 17:21:25,-24.79,-50.01,76.89,62,24,4.68
206,Januaria,BR,2020-12-23 17:21:27,-15.48,-44.37,85.44,65,84,1.74
207,Lebu,CL,2020-12-23 17:21:27,-37.62,-73.65,61.25,69,0,18.01
208,Manhattan,US,2020-12-23 17:20:11,40.78,-73.97,42.8,48,1,5.82
209,Sitka,US,2020-12-23 17:21:28,57.05,-135.33,44.6,75,90,21.92
210,Avera,US,2020-12-23 17:18:09,33.19,-82.53,60.8,44,1,9.17
211,Doka,SD,2020-12-23 17:21:28,13.52,35.77,83.57,19,7,12.08
212,Makakilo City,US,2020-12-23 17:21:28,21.35,-158.09,68.0,88,1,4.7
213,Hermiston,US,2020-12-23 17:21:28,45.84,-119.29,32.0,86,1,3.42
214,Trincomalee,LK,2020-12-23 17:17:35,8.57,81.23,78.4,84,99,14.79
215,Chumikan,RU,2020-12-23 17:21:29,54.72,135.31,-16.02,82,0,17.09
216,Codrington,AU,2020-12-23 17:21:29,-38.27,141.97,53.15,80,70,7.52
217,San Isidro,PE,2020-12-23 17:21:29,-12.12,-77.05,71.6,73,90,10.29
218,Kavieng,PG,2020-12-23 17:21:29,-2.57,150.8,83.12,72,65,3.96
219,Atikokan,CA,2020-12-23 17:21:30,48.76,-91.62,14.32,95,100,15.05
220,Solnechnyy,RU,2020-12-23 17:21:30,50.72,136.63,-5.22,89,61,2.93
221,Wolfen,DE,2020-12-23 17:21:30,51.67,12.28,51.01,20,100,7.29
222,Atar,MR,2020-12-23 17:21:30,20.52,-13.05,77.43,18,0,15.26
223,Te Anau,NZ,2020-12-23 17:21:31,-45.42,167.72,51.57,92,100,1.66
224,Xining,CN,2020-12-23 17:21:31,36.62,101.77,15.91,72,9,2.35
225,Kyaikto,MM,2020-12-23 17:21:31,17.3,97.02,68.58,70,25,6.04
226,Aransas Pass,US,2020-12-23 17:16:34,27.91,-97.15,75.2,78,75,9.17
227,Sao Raimundo Nonato,BR,2020-12-23 17:21:31,-9.02,-42.7,93.25,30,100,5.86
228,Noumea,NC,2020-12-23 17:21:32,-22.28,166.46,71.6,94,0,1.12
229,Visnes,NO,2020-12-23 17:21:32,59.36,5.22,42.01,73,75,12.75
230,Poum,NC,2020-12-23 17:21:32,-20.23,164.02,78.82,77,6,6.64
231,Pontes E Lacerda,BR,2020-12-23 17:19:27,-15.23,-59.34,77.94,87,99,2.68
232,Iqaluit,CA,2020-12-23 17:21:32,63.75,-68.51,1.4,77,90,10.11
233,Chokurdakh,RU,2020-12-23 17:21:33,70.63,147.92,-14.82,88,100,12.17
234,Dabhol,IN,2020-12-23 17:21:33,17.6,73.17,70.14,63,13,5.66
235,Escuinapa,MX,2020-12-23 17:21:33,22.85,-105.8,82.17,24,0,2.19
236,Vallenar,CL,2020-12-23 17:21:34,-28.57,-70.76,84.9,21,0,10.38
237,Lagos,NG,2020-12-23 17:20:00,6.58,3.75,86.0,74,20,8.05
238,Kargasok,RU,2020-12-23 17:21:34,59.06,80.86,-9.24,90,100,7.96
239,Tiarei,PF,2020-12-23 17:21:35,-17.53,-149.33,78.8,83,75,12.75
240,Aginskoye,RU,2020-12-23 17:21:35,51.1,114.53,1.76,85,56,3.51
241,Hami,CN,2020-12-23 17:19:33,42.8,93.45,14.85,81,0,3.6
242,Kawalu,ID,2020-12-23 17:21:36,-7.38,108.21,74.52,86,97,1.5
243,Otradnoye,RU,2020-12-23 17:21:36,59.78,30.82,30.2,86,90,8.95
244,Bykovo,RU,2020-12-23 17:21:37,55.64,38.08,21.2,79,75,13.42
245,Wegberg,DE,2020-12-23 17:17:00,51.15,6.27,53.6,93,75,10.29
246,Kampong Thum,KH,2020-12-23 17:21:37,12.71,104.89,73.26,77,100,4.23
247,Port Hardy,CA,2020-12-23 17:20:07,50.7,-127.42,42.8,80,75,21.92
248,Tsabong,BW,2020-12-23 17:21:37,-26.02,22.4,87.03,20,62,14.36
249,Alice Springs,AU,2020-12-23 17:21:38,-23.7,133.88,57.2,100,90,5.82
250,Aitape,PG,2020-12-23 17:21:39,-3.14,142.35,77.81,87,100,7.27
251,Nuuk,GL,2020-12-23 17:21:39,64.18,-51.72,41.0,60,90,10.29
252,Kruisfontein,ZA,2020-12-23 17:17:16,-34.0,24.73,70.0,72,13,5.99
253,Jacareacanga,BR,2020-12-23 17:21:39,-6.22,-57.75,100.11,38,44,1.01
254,Sabang,ID,2020-12-23 17:21:40,5.89,95.32,80.33,80,89,14.38
255,Klyuchi,RU,2020-12-23 17:21:40,52.27,79.17,12.96,95,100,17.4
256,Hambantota,LK,2020-12-23 17:21:40,6.12,81.12,75.22,89,100,9.69
257,Emborion,GR,2020-12-23 17:21:40,40.48,21.55,44.6,75,0,5.82
258,Nicoya,CR,2020-12-23 17:16:46,10.15,-85.45,86.0,62,40,9.17
259,Le Port,RE,2020-12-23 17:21:41,-20.94,55.29,77.0,65,0,14.99
260,Fazilka,IN,2020-12-23 17:21:41,30.4,74.03,57.49,36,0,1.21
261,Ambulu,ID,2020-12-23 17:21:41,-8.35,113.61,77.04,83,32,2.28
262,Mamakan,RU,2020-12-23 17:21:42,57.82,114.0,-6.54,84,100,0.85
263,Okha,RU,2020-12-23 17:21:42,53.57,142.95,-12.78,87,23,11.18
264,Conde,BR,2020-12-23 17:21:42,-7.26,-34.91,87.8,58,40,11.41
265,Mogadishu,SO,2020-12-23 17:21:42,2.04,45.34,79.39,78,17,19.13
266,Port-Gentil,GA,2020-12-23 17:21:42,-0.72,8.78,80.6,88,75,10.29
267,Harper,LR,2020-12-23 17:21:43,4.38,-7.72,81.09,77,79,6.98
268,Kimbe,PG,2020-12-23 17:21:43,-5.55,150.14,76.41,87,100,3.02
269,Yafran,LY,2020-12-23 17:21:43,32.06,12.53,55.11,72,75,5.64
