City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Kyren,RU,51.68,102.14,1.18,78,100,1.63,snow
109,Robertsport,LR,6.75,-11.37,79.36,84,62,8.14,broken clouds
110,Kendal,GB,54.33,-2.75,37.99,87,0,6.89,clear sky
111,Asau,RO,46.43,26.4,39.99,85,87,5.17,overcast clouds
112,Atuona,PF,-9.8,-139.03,78.64,77,4,17.09,clear sky
113,Tezu,IN,27.92,96.17,65.84,41,0,0.09,clear sky
114,Yellowknife,CA,62.46,-114.35,-2.99,83,90,16.11,light snow
115,Khor,RU,47.89,134.95,12.54,94,96,6.85,overcast clouds
116,Sinjar,IQ,36.32,41.88,40.21,66,93,8.3,overcast clouds
117,Port Macquarie,AU,-31.43,152.92,75.99,61,100,6.08,overcast clouds
118,Aklavik,CA,68.22,-135.01,-2.2,77,100,6.93,overcast clouds
119,Bambous Virieux,MU,-20.34,57.76,77.0,83,75,12.75,shower rain
120,Santa Fe,AR,-31.63,-60.7,78.01,55,0,4.0,clear sky
121,Upernavik,GL,72.79,-56.15,10.98,95,100,11.14,overcast clouds
122,Takoradi,GH,4.88,-1.76,78.87,86,26,7.52,scattered clouds
123,Pangnirtung,CA,66.15,-65.71,-11.47,80,100,3.42,overcast clouds
124,Yulara,AU,-25.24,130.99,82.4,28,0,18.34,clear sky
125,Esperance,AU,-33.87,121.9,77.0,41,0,12.75,clear sky
126,Oudtshoorn,ZA,-33.59,22.2,59.0,100,28,4.7,light rain
127,Tayginka,RU,55.62,60.51,14.07,93,67,10.76,broken clouds
128,Pevek,RU,69.7,170.31,-4.05,89,100,0.11,overcast clouds
129,Xiamen,CN,24.48,118.08,62.6,93,40,4.47,mist
130,Cabo San Lucas,MX,22.89,-109.91,73.4,33,5,4.7,clear sky
131,Izhma,RU,65.01,53.91,-25.29,84,0,4.23,clear sky
132,Jalingo,NG,8.88,11.37,75.06,26,56,2.82,broken clouds
133,Soure,BR,-0.72,-48.52,80.22,82,53,10.67,light rain
134,Lebu,CL,-37.62,-73.65,56.17,90,0,13.06,clear sky
135,Kendari,ID,-3.94,122.5,86.11,69,100,0.54,light rain
136,Loralai,PK,30.37,68.6,38.32,65,0,2.33,clear sky
137,Souillac,MU,-20.52,57.52,77.0,83,75,12.75,shower rain
138,Fort Nelson,CA,58.81,-122.7,5.0,77,75,3.36,broken clouds
139,Bocaiuva,BR,-17.11,-43.81,70.39,85,100,2.15,light rain
140,Jiayuguan,CN,39.82,98.3,16.5,67,0,2.71,clear sky
141,Ust-Nera,RU,64.57,143.2,-31.97,73,95,2.44,overcast clouds
142,Matara,LK,5.95,80.54,76.66,84,98,1.16,overcast clouds
143,Broken Hill,AU,-31.95,141.43,75.2,33,0,10.29,clear sky
144,Cape Town,ZA,-33.93,18.42,66.0,93,75,6.93,light rain
145,Jiangyou,CN,31.77,104.72,46.2,56,100,0.74,overcast clouds
146,Saint-Philippe,RE,-21.36,55.77,75.2,73,75,5.82,light rain
147,Alpena,US,45.06,-83.43,45.0,70,90,14.99,overcast clouds
148,Beringovskiy,RU,63.05,179.32,-16.42,84,16,6.15,few clouds
149,Tyukalinsk,RU,55.87,72.2,16.45,97,100,11.59,overcast clouds
150,Oktyabrskiy,RU,54.48,53.47,3.38,94,96,3.44,overcast clouds
151,Port Augusta,AU,-32.5,137.77,82.99,52,0,13.87,clear sky
