City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Anloga,GH,78.8,few clouds,5.79,0.9,Pin Drop Hotel
295,Victoria,HK,70.0,clear sky,22.29,114.16,Mini Hotel Central
298,Edelira,PY,66.6,light rain,-26.75,-55.27,Hospedaje Miguelito
299,Harper,LR,77.77,clear sky,4.38,-7.72,Screensaver
302,Maracaibo,VE,80.17,few clouds,10.63,-71.64,Motel Aladdin
305,Chuy,UY,62.51,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
307,Marawi,PH,82.99,broken clouds,8.0,124.29,Derogongan Residence
308,Sao Filipe,CV,72.52,overcast clouds,14.9,-24.5,Tortuga B&B
309,Atar,MR,60.33,clear sky,20.52,-13.05,Oumou Elghoura
312,Ixtapa,MX,71.6,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
313,Tomatlan,MX,69.04,clear sky,19.93,-105.25,Norma franco
314,Arraial Do Cabo,BR,73.53,overcast clouds,-22.97,-42.03,Pousada Porto Praia
316,Sibolga,ID,75.33,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
321,Praia,CV,68.0,scattered clouds,14.92,-23.51,LT Aparthotel
322,Tsabong,BW,73.02,clear sky,-26.02,22.4,Springbok Motel
324,Saint-Joseph,RE,75.2,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
327,Poum,NC,79.95,broken clouds,-20.23,164.02,Gîte kajeon
331,Neuquen,AR,84.2,clear sky,-38.95,-68.06,Hotel del Comahue
334,Sena Madureira,BR,72.66,overcast clouds,-9.07,-68.66,Hotel Suzani
335,Manavalakurichi,IN,78.8,mist,8.13,77.3,Udaya Boys Hostel
337,Kruisfontein,ZA,63.0,light rain,-34.0,24.73,Oyster Bay House Rental
340,Richards Bay,ZA,72.16,few clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
341,Bom Conselho,BR,67.32,overcast clouds,-9.17,-36.68,Hotel Raízes
342,San Patricio,US,68.0,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
343,Caditaan,PH,83.84,broken clouds,12.81,123.85,Bucal-bucalan Spring Resort
345,Vicksburg,US,64.4,moderate rain,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
346,Kishi,NG,72.28,scattered clouds,9.08,3.85,AMARC GUEST HOUSE
347,Bambanglipuro,ID,83.79,broken clouds,-7.95,110.28,Puri Brata
353,Guanica,PR,73.0,clear sky,17.97,-66.91,Copamarina Beach Resort & Spa
354,Zwedru,LR,71.76,broken clouds,6.07,-8.13,Elijah Worjloh
357,Sao Jose Da Coroa Grande,BR,77.29,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
360,Bandarbeyla,SO,72.77,clear sky,9.49,50.81,JABIR HOTEL
363,Kudahuvadhoo,MV,81.23,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
366,Sur,OM,65.95,clear sky,22.57,59.53,Sur Plaza Hotel
369,Mogadishu,SO,76.41,overcast clouds,2.04,45.34,Hotel Juba
370,East London,ZA,70.61,scattered clouds,-33.02,27.91,Tu Casa
372,Hwange,ZW,72.05,scattered clouds,-18.37,26.5,Hwange Colliery Guest House
374,Alenquer,BR,82.4,clear sky,-1.94,-54.74,Josilene Castro
375,Lakes Entrance,AU,66.99,overcast clouds,-37.88,147.98,The Esplanade Resort & Spa
377,Vila Do Maio,CV,68.0,scattered clouds,15.13,-23.22,Residence 'I Delfini'
379,La Palma,US,66.99,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
380,Belmonte,BR,77.0,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
382,Rengo,CL,73.4,clear sky,-34.42,-70.87,Hostal Cartagena
383,Puerto Madryn,AR,65.73,clear sky,-42.77,-65.04,Hotel Tolosa
386,San Quintin,MX,61.61,overcast clouds,30.48,-115.95,Old Mill Hotel
388,San Policarpo,PH,82.98,broken clouds,12.18,125.51,JM Lodge
